Date,PH
2016/1/5,0.0002786
2016/1/6,0.000178047
2016/1/7,0.000292277
2016/1/8,0.000330024
2016/1/11,3.96E-06
2016/1/12,2.40E-06
2016/1/13,7.68E-05
2016/1/14,0.000106339
2016/1/15,0.000887013
2016/1/19,1.86E-06
2016/1/20,0.000243312
2016/1/21,0.000272524
2016/1/22,0.00044265
2016/1/25,0.000365112
2016/1/26,0.001647187
2016/1/27,7.60E-07
2016/1/28,0.000662138
2016/1/29,0.001037729
2016/2/1,6.67E-05
2016/2/2,0.000117734
2016/2/3,0.000618232
2016/2/4,0.001169513
2016/2/5,1.41E-05
2016/2/8,4.32E-06
2016/2/9,0.000183456
2016/2/10,0.001397966
2016/2/11,7.22E-05
2016/2/12,1.38E-05
2016/2/16,0.000594328
2016/2/17,0.00018916
2016/2/18,7.16E-06
2016/2/19,7.52E-05
2016/2/22,0.000807915
2016/2/23,0.000386227
2016/2/24,1.57E-05
2016/2/25,2.06E-05
2016/2/26,3.24E-05
2016/2/29,9.86E-05
2016/3/1,0.001073098
2016/3/2,0.000128044
2016/3/3,7.50E-05
2016/3/4,9.03E-06
2016/3/7,0.000347052
2016/3/8,0.000293308
2016/3/9,4.41E-05
2016/3/10,2.74E-05
2016/3/11,0.000258831
2016/3/14,3.06E-07
2016/3/15,4.51E-06
2016/3/16,0.000245742
2016/3/17,0.000538059
2016/3/18,1.55E-06
2016/3/21,2.85E-07
2016/3/22,4.57E-06
2016/3/23,0.000171928
2016/3/24,8.87E-06
2016/3/28,3.45E-05
2016/3/29,5.35E-05
2016/3/30,1.17E-06
2016/3/31,6.57E-07
2016/4/1,4.41E-05
2016/4/4,0.000339009
2016/4/5,7.24E-05
2016/4/6,3.44E-05
2016/4/7,1.77E-05
2016/4/8,6.46E-05
2016/4/11,2.77E-05
2016/4/12,8.78E-05
2016/4/13,3.69E-05
2016/4/14,2.86E-07
2016/4/15,0.000164678
2016/4/18,8.97E-06
2016/4/19,3.47E-05
2016/4/20,2.42E-05
2016/4/21,3.20E-05
2016/4/22,0.000104586
2016/4/25,2.78E-05
2016/4/26,6.96E-05
2016/4/27,0.000490104
2016/4/28,0.000162283
2016/4/29,2.51E-05
2016/5/2,2.02E-05
2016/5/3,0.000252272
2016/5/4,0.000527008
2016/5/5,5.81E-05
2016/5/6,0.000128684
2016/5/9,0.00018968
2016/5/10,0.00040947
2016/5/11,1.65E-05
2016/5/12,8.06E-06
2016/5/13,0.000621077
2016/5/16,0.000499135
2016/5/17,9.20E-06
2016/5/18,0.000165389
2016/5/19,0.00018189
2016/5/20,1.85E-05
2016/5/23,1.41E-06
2016/5/24,0.000118585
2016/5/25,0.000372761
2016/5/26,3.60E-05
2016/5/27,8.93E-06
2016/5/31,5.65E-05
2016/6/1,2.37E-05
2016/6/2,1.72E-05
2016/6/3,1.07E-06
2016/6/6,5.01E-06
2016/6/7,1.45E-06
2016/6/8,1.70E-05
2016/6/9,0.00011431
2016/6/10,0.000544206
2016/6/13,0.000101554
2016/6/14,8.20E-06
2016/6/15,5.84E-06
2016/6/16,9.73E-07
2016/6/17,3.59E-05
2016/6/20,0.000200566
2016/6/21,1.18E-05
2016/6/22,1.13E-05
2016/6/23,7.76E-05
2016/6/24,0.005431155
2016/6/27,0.002717912
2016/6/28,0.000339683
2016/6/29,0.000258594
2016/6/30,0.00141577
2016/7/1,0.000140851
2016/7/5,0.000440143
2016/7/6,0.000150137
2016/7/7,2.46E-06
2016/7/8,0.000802731
2016/7/11,2.52E-05
2016/7/12,0.000145962
2016/7/13,2.26E-06
2016/7/14,4.25E-05
2016/7/15,1.51E-06
2016/7/18,2.62E-05
2016/7/19,3.43E-05
2016/7/20,3.85E-05
2016/7/21,5.82E-05
2016/7/22,5.82E-05
2016/7/25,3.22E-05
2016/7/26,0.000399081
2016/7/27,1.94E-06
2016/7/28,1.61E-05
2016/7/29,6.00E-06
2016/8/1,6.83E-05
2016/8/2,3.78E-06
2016/8/3,4.37E-05
2016/8/4,0.001982082
2016/8/5,0.000320833
2016/8/8,0.000163803
2016/8/9,3.66E-05
2016/8/10,3.87E-06
2016/8/11,0.000137307
2016/8/12,4.22E-05
2016/8/15,0.00011258
2016/8/16,6.49E-09
2016/8/17,4.05E-06
2016/8/18,6.64E-06
2016/8/19,7.06E-06
2016/8/22,5.83E-06
2016/8/23,1.25E-05
2016/8/24,9.22E-05
2016/8/25,4.99E-05
2016/8/26,6.72E-06
2016/8/29,1.64E-05
2016/8/30,1.91E-05
2016/8/31,2.97E-05
2016/9/1,7.23E-06
2016/9/2,2.78E-05
2016/9/6,5.53E-06
2016/9/7,5.53E-05
2016/9/8,2.86E-06
2016/9/9,0.000848522
2016/9/12,0.000291548
2016/9/13,0.000274837
2016/9/14,6.88E-09
2016/9/15,0.000197419
2016/9/16,7.26E-05
2016/9/19,5.09E-05
2016/9/20,8.68E-06
2016/9/21,0.00013385
2016/9/22,1.70E-05
2016/9/23,0.000272642
2016/9/26,2.27E-05
2016/9/27,0.000120599
2016/9/28,0.000285316
2016/9/29,4.03E-05
2016/9/30,0.000152368
2016/10/3,4.40E-05
2016/10/4,7.15E-05
2016/10/5,0.000897322
2016/10/6,1.48E-05
2016/10/7,0.00032281
2016/10/10,1.19E-05
2016/10/11,0.000265044
2016/10/12,4.85E-05
2016/10/13,1.70E-05
2016/10/14,8.16E-05
2016/10/17,1.45E-06
2016/10/18,0.000161336
2016/10/19,5.45E-05
2016/10/20,5.69E-05
2016/10/21,1.06E-05
2016/10/24,0.000390288
2016/10/25,2.14E-05
2016/10/26,1.62E-05
2016/10/27,1.14E-06
2016/10/28,4.21E-06
2016/10/31,4.17E-05
2016/11/1,0.000165705
2016/11/2,0.000116332
2016/11/3,2.43E-05
2016/11/4,0.000110403
2016/11/7,0.001716909
2016/11/8,0.000122255
2016/11/9,0.001846258
2016/11/10,0.001388552
2016/11/11,0.000164859
2016/11/14,3.24E-06
2016/11/15,5.45E-05
2016/11/16,0.000253107
2016/11/17,2.67E-05
2016/11/18,5.58E-05
2016/11/21,7.08E-05
2016/11/22,1.84E-05
2016/11/23,1.16E-05
2016/11/25,2.93E-05
2016/11/28,0.000273374
2016/11/29,1.93E-06
2016/11/30,0.000206042
2016/12/1,0.001034004
2016/12/2,0.000121073
2016/12/5,1.55E-05
2016/12/6,3.99E-07
2016/12/7,0.000285712
2016/12/8,0.000464116
2016/12/9,1.90E-05
2016/12/12,4.47E-05
2016/12/13,1.52E-05
2016/12/14,3.32E-05
2016/12/15,0.000391032
2016/12/16,3.06E-06
2016/12/19,2.40E-07
2016/12/20,5.78E-05
2016/12/21,0.000112742
2016/12/22,8.27E-06
2016/12/23,1.77E-07
2016/12/27,1.37E-05
2016/12/28,0.000285395
2016/12/29,1.88E-05
2016/12/30,3.44E-06
2017/1/3,0.000325814
2017/1/4,3.98E-07
2017/1/5,8.00E-05
2017/1/6,7.20E-07
2017/1/9,2.53E-05
2017/1/10,5.52E-05
2017/1/11,0.000554688
2017/1/12,0.000102115
2017/1/13,0.000297276
2017/1/17,0.000329304
2017/1/18,2.93E-05
2017/1/19,2.04E-05
2017/1/20,7.38E-05
2017/1/23,1.97E-08
2017/1/24,0.000428358
2017/1/25,0.0007503
2017/1/26,7.91E-06
2017/1/27,1.30E-06
2017/1/30,0.000171142
2017/1/31,1.84E-06
2017/2/1,0.000131886
2017/2/2,0.000848838
2017/2/3,9.41E-06
2017/2/6,0.000108993
2017/2/7,2.10E-05
2017/2/8,9.03E-07
2017/2/9,0.00016737
2017/2/10,3.45E-05
2017/2/13,0.000213221
2017/2/14,1.24E-06
2017/2/15,0.00034465
2017/2/16,4.86E-05
2017/2/17,1.14E-05
2017/2/21,0.000124968
2017/2/22,2.38E-06
2017/2/23,0.000194765
2017/2/24,7.54E-05
2017/2/27,5.00E-05
2017/2/28,6.99E-05
2017/3/1,0.000528244
2017/3/2,7.32E-05
2017/3/3,3.65E-08
2017/3/6,3.05E-05
2017/3/7,7.78E-06
2017/3/8,1.03E-06
